input_text,target_text
i go school,I go to school
you eat lunch,You are eating lunch
she want book new,She wants a new book
we play park,We play in the park
he run beach,He is running on the beach
they need phone,They need a phone
mom buy food store,Mom buys food at the store
dad watch movie home,Dad watches a movie at home
friend call where,Where is your friend calling?
teacher help kid school,The teacher helps the kid at school
i sleep bedroom,I am sleeping in the bedroom
you drink coffee kitchen,You drink coffee in the kitchen
he like dog happy,He likes a happy dog
she see bus city,She sees the bus in the city
we work office,We work in the office
they learn game new,They learn a new game
sister eat apple,Sister is eating an apple
brother run park,Brother is running in the park
neighbor want car new,The neighbor wants a new car
kid play ball beach,The kid plays with the ball on the beach
go mall,Go to the mall
eat lunch home,Eat lunch at home
buy shirt store,Buy a shirt at the store
see movie where,Where are you seeing the movie?
help friend home,Help your friend at home
i need coffee hot,I need a hot coffee
you run where,Where are you running?
she buy book old,She buys an old book
we see dog park,We see a dog in the park
he want lunch busy,He wants a quick lunch
they play game fun,They play a fun game
mom sleep where,Where is mom sleeping?
dad need phone new,Dad needs a new phone
friend eat food kitchen,Your friend eats food in the kitchen
teacher watch kid park,The teacher watches the kid in the park
i like movie new,I like a new movie
you help sister home,You help your sister at home
he go store,He goes to the store
she learn school,She learns at school
we drink water cold,We drink cold water
they call friend city,They call a friend in the city
sister want shirt new,Sister wants a new shirt
brother see car beach,Brother sees a car on the beach
neighbor work office,The neighbor works in the office
kid eat lunch home,The kid eats lunch at home
play ball park,Play with the ball in the park
watch movie home,Watch a movie at home
call friend where,Where are you calling your friend?
buy food mall,Buy food at the mall
i go park happy,I go to the park happily
you buy coffee store,You buy coffee at the store
he play game home,He plays a game at home
she need book school,She needs a book for school
we go beach happy,We go to the beach happily
they eat lunch park,They eat lunch in the park
mom watch dog kitchen,Mom watches the dog in the kitchen
dad run city,Dad is running in the city
friend want shirt new,Your friend wants a new shirt
teacher see kid where,Where is the teacher seeing the kid?
i sleep home,I am sleeping at home
you call brother mall,You call your brother at the mall
she like coffee hot,She likes hot coffee
he work bedroom,He works in the bedroom
we play ball park,We play with the ball in the park
they need car,They need a car
sister eat food home,Sister eats food at home
brother go school,Brother goes to school
neighbor watch movie,The neighbor watches a movie
kid run beach happy,The kid runs on the beach happily
go store,Go to the store
eat apple kitchen,Eat an apple in the kitchen
buy phone new,Buy a new phone
see friend where,Where are you seeing your friend?
help mom home,Help mom at home
i want lunch cold,I want a cold lunch
you sleep where,Where are you sleeping?
she buy shirt mall,She buys a shirt at the mall
we see movie city,We see a movie in the city
he need book busy,He needs a book quickly
they play dog park,They play with the dog in the park
mom go where,Where is mom going?
dad like phone new,Dad likes a new phone
friend eat lunch school,Your friend eats lunch at school
teacher help student office,The teacher helps the student in the office
i watch game fun,I watch a fun game
you run park happy,You run in the park happily
he go kitchen,He goes to the kitchen
she learn book new,She learns from a new book
we drink coffee store,We drink coffee at the store
they call sister home,They call their sister at home
sister want game fun,Sister wants a fun game
brother see bus city,Brother sees the bus in the city
neighbor work home,The neighbor works at home
kid eat apple park,The kid eats an apple in the park
play game bedroom,Play a game in the bedroom
watch dog park,Watch the dog in the park
call mom where,Where are you calling mom?
buy food kitchen,Buy food for the kitchen
i go mall tired,I go to the mall tiredly
you eat food where,Where are you eating food?
he buy book store,He buys a book at the store
she play phone home,She plays on the phone at home
we need lunch school,We need lunch for school
they go park fun,They go to the park for fun
mom eat breakfast kitchen,Mom eats breakfast in the kitchen
dad watch game city,Dad watches a game in the city
friend need car new,Your friend needs a new car
teacher call kid home,The teacher calls the kid from home
i run mall,I am running at the mall
you see movie beach,You see a movie on the beach
she want coffee cold,She wants a cold coffee
he sleep office,He sleeps in the office
we like dog happy,We like a happy dog
they work store,They work at the store
sister see shirt new,Sister sees a new shirt
brother eat lunch park,Brother eats lunch in the park
neighbor go bedroom,The neighbor goes to the bedroom
kid play game school,The kid plays a game at school
go kitchen,Go to the kitchen
buy apple store,Buy an apple at the store
watch movie where,Where are you watching the movie?
help brother mall,Help your brother at the mall
i need shirt hot,I need a warm shirt
you call where,Where are you calling?
she run beach tired,She runs on the beach tiredly
we buy food home,We buy food for home
he see bus mall,He sees the bus at the mall
they want book fun,They want a fun book
mom sleep bedroom,Mom sleeps in the bedroom
dad go park,Dad goes to the park
friend eat apple city,Your friend eats an apple in the city
teacher watch student school,The teacher watches the student at school
i like lunch new,I like a new lunch
you help mom kitchen,You help mom in the kitchen
he drink water cold,He drinks cold water
she go store happy,She goes to the store happily
we play game home,We play a game at home
they see dog beach,They see a dog on the beach
sister need phone,Sister needs a phone
brother watch movie home,Brother watches a movie at home
neighbor run park,The neighbor runs in the park
kid buy book school,The kid buys a book for school
play ball home,Play with the ball at home
eat food park,Eat food in the park
call sister where,Where are you calling your sister?
buy coffee mall,Buy coffee at the mall
i go school busy,I go to school busily
you sleep home tired,You sleep at home tiredly
he eat lunch where,Where is he eating lunch?
she want game new,She wants a new game
we see movie mall,We see a movie at the mall
they play ball beach,They play with the ball on the beach
mom buy shirt store,Mom buys a shirt at the store
dad need coffee hot,Dad needs a hot coffee
friend go school happy,Your friend goes to school happily
teacher eat lunch office,The teacher eats lunch in the office
i watch dog park,I watch the dog in the park
you run home tired,You run home tiredly
she call sister city,She calls her sister in the city
he like book new,He likes a new book
we want lunch park,We want lunch in the park
they sleep bedroom,They sleep in the bedroom
sister see movie home,Sister sees a movie at home
brother play game mall,Brother plays a game at the mall
neighbor eat food kitchen,The neighbor eats food in the kitchen
kid go park fun,The kid goes to the park for fun
go beach,Go to the beach
buy phone store,Buy a phone at the store
watch game where,Where are you watching the game?
help dad home,Help dad at home
i need water cold,I need cold water
you buy book where,Where are you buying the book?
she run park happy,She runs in the park happily
we eat apple home,We eat an apple at home
he see car beach,He sees a car on the beach
they want shirt new,They want a new shirt
mom watch movie city,Mom watches a movie in the city
dad go kitchen,Dad goes to the kitchen
friend sleep where,Where is your friend sleeping?
teacher help kid park,The teacher helps the kid in the park
i like coffee busy,I like a quick coffee
you play ball home,You play with the ball at home
he drink coffee mall,He drinks coffee at the mall
she need book school,She needs a book for school
we go store tired,We go to the store tiredly
they see bus city,They see a bus in the city
sister want lunch new,Sister wants a new lunch
brother run beach,Brother runs on the beach
neighbor call friend home,The neighbor calls a friend from home
kid eat lunch school,The kid eats lunch at school
play game park,Play a game in the park
eat breakfast kitchen,Eat breakfast in the kitchen
call brother where,Where are you calling your brother?
buy shirt mall,Buy a shirt at the mall
i go home happy,I go home happily
you watch movie tired,You watch a movie tiredly
he eat food where,Where is he eating food?
she like phone new,She likes a new phone
we want game fun,We want a fun game
they go school busy,They go to school busily
mom eat apple park,Mom eats an apple in the park
dad buy book home,Dad buys a book for home
friend run mall happy,Your friend runs in the mall happily
teacher see student city,The teacher sees the student in the city
i play game bedroom,I play a game in the bedroom
you need coffee cold,You need a cold coffee
she watch dog home,She watches the dog at home
he go beach tired,He goes to the beach tiredly
we call sister store,We call our sister at the store
they like lunch new,They like a new lunch
sister sleep kitchen,Sister sleeps in the kitchen
brother want shirt fun,Brother wants a fun shirt
neighbor eat breakfast office,The neighbor eats breakfast in the office
kid see movie park,The kid sees a movie in the park
go city,Go to the city
buy lunch school,Buy lunch for school
watch phone where,Where are you watching the phone?
help teacher school,Help the teacher at school
i want book busy,I want a quick book
you go park where,Where are you going in the park?
she eat lunch mall,She eats lunch at the mall
we run home fun,We run home for fun
he play ball city,He plays with the ball in the city
they need game new,They need a new game
mom go store happy,Mom goes to the store happily
dad watch movie beach,Dad watches a movie on the beach
friend buy coffee kitchen,Your friend buys coffee for the kitchen
teacher sleep where,Where is the teacher sleeping?
i see dog school,I see a dog at school
you like shirt new,You like a new shirt
he drink water home,He drinks water at home
she call mom park,She calls mom from the park
we want phone hot,We want a hot phone
they run bedroom tired,They run to the bedroom tiredly
sister watch game mall,Sister watches a game at the mall
brother eat food store,Brother eats food at the store
neighbor go beach,The neighbor goes to the beach
kid play ball home,The kid plays with the ball at home
eat dinner kitchen,Eat dinner in the kitchen
buy game store,Buy a game at the store
call dad where,Where are you calling dad?
watch movie city,Watch a movie in the city
i go kitchen busy,I go to the kitchen busily
you eat breakfast where,Where are you eating breakfast?
she need lunch new,She needs a new lunch
we see car park,We see a car in the park
he like coffee cold,He likes a cold coffee
they buy shirt home,They buy a shirt for home
mom run park happy,Mom runs in the park happily
dad sleep home,Dad sleeps at home
friend watch movie school,Your friend watches a movie at school
teacher buy book mall,The teacher buys a book at the mall
i eat lunch bedroom,I eat lunch in the bedroom
you go city happy,You go to the city happily
she play game park,She plays a game in the park
he need shirt new,He needs a new shirt
we call brother home,We call our brother at home
they see dog mall,They see a dog at the mall
sister run kitchen tired,Sister runs to the kitchen tiredly
brother like phone fun,Brother likes a fun phone
neighbor eat apple beach,The neighbor eats an apple on the beach
kid go store busy,The kid goes to the store busily
go school,Go to school
buy coffee kitchen,Buy coffee for the kitchen
watch ball where,Where are you watching the ball?
help mom park,Help mom in the park
i want game new,I want a new game
you sleep mall tired,You sleep at the mall tiredly
she see lunch home,She sees lunch at home
we drink coffee city,We drink coffee in the city
he run park fun,He runs in the park for fun
they buy book school,They buy a book for school
mom play ball home,Mom plays with the ball at home
dad eat food store,Dad eats food at the store
friend go beach happy,Your friend goes to the beach happily
teacher need phone office,The teacher needs a phone in the office
i watch movie bedroom,I watch a movie in the bedroom
you call sister where,Where are you calling your sister?
she like lunch cold,She likes a cold lunch
he go home busy,He goes home busily
we see shirt store,We see a shirt at the store
they want dog new,They want a new dog
sister eat breakfast park,Sister eats breakfast in the park
brother sleep city,Brother sleeps in the city
neighbor run home tired,The neighbor runs home tiredly
kid watch game school,The kid watches a game at school
eat lunch mall,Eat lunch at the mall
buy shirt beach,Buy a shirt at the beach
call friend home,Call your friend from home
watch dog city,Watch the dog in the city
i go store fun,I go to the store for fun
you eat apple tired,You eat an apple tiredly
she need coffee hot,She needs a hot coffee
we play phone park,We play on the phone in the park
he see book mall,He sees a book at the mall
they run beach happy,They run on the beach happily
mom buy lunch kitchen,Mom buys lunch for the kitchen
dad watch ball park,Dad watches the ball in the park
friend sleep bedroom,Your friend sleeps in the bedroom
teacher go school busy,The teacher goes to school busily
i see movie city,I see a movie in the city
you play ball bedroom,You play with the ball in the bedroom
she buy coffee home,She buys coffee for home
he eat lunch park,He eats lunch in the park
we go mall tired,We go to the mall tiredly
they watch dog school,They watch the dog at school
sister need book new,Sister needs a new book
brother run store happy,Brother runs to the store happily
neighbor call mom beach,The neighbor calls mom from the beach
kid like game fun,The kid likes a fun game
go home,Go home
buy lunch store,Buy lunch at the store
watch shirt where,Where are you watching the shirt?
help dad mall,Help dad at the mall
i want phone cold,I want a cool phone
you sleep park where,Where are you sleeping in the park?
she see car home,She sees a car at home
we drink water beach,We drink water on the beach
he play game office,He plays a game in the office
they need shirt busy,They need a shirt quickly
mom eat food city,Mom eats food in the city
dad go bedroom tired,Dad goes to the bedroom tiredly
friend buy book park,Your friend buys a book at the park
teacher watch movie store,The teacher watches a movie at the store
i run kitchen fun,I run in the kitchen for fun
you call brother city,You call your brother in the city
she like apple new,She likes a new apple
he need lunch home,He needs lunch at home
we see bus beach,We see a bus on the beach
they go park happy,They go to the park happily
sister watch phone mall,Sister watches the phone at the mall
brother eat breakfast home,Brother eats breakfast at home
neighbor sleep school,The neighbor sleeps at school
kid run park tired,The kid runs in the park tiredly
eat dinner park,Eat dinner in the park
buy game mall,Buy a game at the mall
she play phone beach,She plays on the phone at the beach
he buy lunch school,He buys lunch for school
we go kitchen fun,We go to the kitchen for fun
they eat breakfast home,They eat breakfast at home
mom watch dog mall,Mom watches the dog at the mall
dad need book new,Dad needs a new book
friend run park tired,Your friend runs in the park tiredly
teacher call student city,The teacher calls the student in the city
i sleep store,I am sleeping at the store
you see shirt home,You see a shirt at home
she like game busy,She likes a quick game
he go park happy,He goes to the park happily
we need coffee kitchen,We need coffee in the kitchen
they watch movie park,They watch a movie in the park
sister buy apple store,Sister buys an apple at the store
brother play ball beach,Brother plays with the ball on the beach
neighbor eat lunch office,The neighbor eats lunch in the office
kid go school busy,The kid goes to school busily
go bedroom,Go to the bedroom
buy shirt city,Buy a shirt in the city
watch car where,Where are you watching the car?
help sister home,Help your sister at home
i want lunch hot,I want a hot lunch
you run mall where,Where are you running in the mall?
she eat food beach,She eats food on the beach
we see phone store,We see a phone at the store
he play dog park,He plays with the dog in the park
they need game fun,They need a fun game
mom go city happy,Mom goes to the city happily
dad eat dinner kitchen,Dad eats dinner in the kitchen
friend watch ball home,Your friend watches the ball at home
teacher sleep park,The teacher sleeps in the park
i like shirt cold,I like a cool shirt
you call mom beach,You call mom from the beach
she need book mall,She needs a book at the mall
he go home tired,He goes home tiredly
we buy lunch city,We buy lunch in the city
they see game school,They see a game at school
sister run bedroom happy,Sister runs to the bedroom happily
brother watch movie city,Brother watches a movie in the city
neighbor go store,The neighbor goes to the store
kid eat apple home,The kid eats an apple at home
eat lunch beach,Eat lunch on the beach
buy phone park,Buy a phone at the park
call brother mall,Call your brother from the mall
watch dog home,Watch the dog at home
i go beach busy,I go to the beach busily
